Vector Size (log2 N),Avg Kernel Time (ms),Avg Host Alloc Time (ms),Avg Device Alloc Time (ms),Avg Host Init Time (ms),Avg H2D Time (ms),Avg D2H Time (ms),Avg Cleanup Time (ms),Avg Total Time (ms)
10,0.0870,0.0011,0.0738,0.0043,0.2315,0.0243,0.2114,0.2114
11,0.0119,0.0011,0.0566,0.0027,0.1716,0.0164,0.1885,0.1885
12,0.0096,0.0022,0.0888,0.0053,0.2065,0.0168,0.2034,0.2034
13,0.0084,0.0016,0.0483,0.0199,0.1823,0.0193,0.1437,0.1437
14,0.0080,0.0016,0.0476,0.0345,0.1863,0.0243,0.1169,0.1169
15,0.0446,0.0015,0.0560,0.0500,0.1611,0.0410,0.0984,0.0984
16,0.0596,0.0018,0.0445,0.0854,0.1242,0.0552,0.1030,0.1030
17,0.0414,0.0084,0.0456,0.3721,0.1408,0.0978,0.1961,0.1962
18,0.0612,0.0115,0.0495,0.5283,0.2503,0.1870,0.2513,0.2513
19,0.0527,0.0113,0.1053,1.0594,0.5252,0.3469,0.5662,0.5662
20,0.0673,0.0126,0.0970,2.0951,0.9968,0.5798,0.8328,0.8328
21,0.1165,0.0133,0.1170,4.1081,2.0200,1.1059,1.3976,1.3976
22,0.2165,0.0131,0.1573,8.1234,4.1019,2.2821,2.9038,2.9039
23,0.2924,0.0171,0.2418,17.5174,7.9259,4.2771,4.9762,4.9762
24,0.6375,0.0214,0.2276,39.0034,17.4704,9.7130,10.7441,10.7442
25,1.1611,0.0222,0.4702,82.2920,31.7819,18.4516,20.2421,20.2423
26,2.1684,0.0239,1.1803,149.8958,62.1473,35.3151,40.8836,40.8838
27,4.0075,0.0235,2.2531,270.5043,119.0921,66.3598,84.4677,84.4678
28,7.9222,0.0300,5.0697,538.3674,237.8748,132.9381,158.2134,158.2135
29,15.6715,0.0352,23.7763,1112.7966,471.0384,272.0373,317.3444,317.3445
30,135.1904,0.0789,424.6991,3026.6678,2194.8354,728.5337,834.8310,834.8312
